dataset_id,author,downloads,likes,created_at,last_modified,tags
zai-org/LongBench,zai-org,72935,179,2023-07-29 14:33:21+00:00,2024-12-18 08:44:33+00:00,"task_categories:question-answering,task_categories:text-generation,task_categories:summarization,task_categories:text-classification,language:en,language:zh,size_categories:1K<n<10K,arxiv:2308.14508,arxiv:2108.00573,arxiv:1712.07040,arxiv:2105.03011,arxiv:2104.02112,arxiv:2104.05938,arxiv:2305.05280,arxiv:2303.09752,arxiv:1910.10683,arxiv:2306.14893,arxiv:2306.03091,region:us,Long Context"
zai-org/LongBench-v2,zai-org,40745,47,2024-12-18 03:25:47+00:00,2024-12-20 02:22:11+00:00,"task_categories:multiple-choice,task_categories:question-answering,task_categories:text-classification,task_categories:table-question-answering,language:en,license:apache-2.0,size_categories:n<1K,format:json,modality:text,library:datasets,library:pandas,library:mlcroissant,library:polars,arxiv:2412.15204,region:us,Long Context,reasoning"
zh-plus/tiny-imagenet,zh-plus,25833,98,2022-07-01 03:33:16+00:00,2022-07-12 09:04:30+00:00,"task_categories:image-classification,task_ids:multi-class-image-classification,annotations_creators:crowdsourced,language_creators:crowdsourced,multilinguality:monolingual,source_datasets:extended|imagenet-1k,language:en,size_categories:100K<n<1M,format:parquet,modality:image,library:datasets,library:pandas,library:mlcroissant,library:polars,region:us"
zjunlp/OceanInstruction,zjunlp,16724,2,2026-04-08 11:44:15+00:00,2026-05-06 15:36:26+00:00,"task_categories:question-answering,task_categories:image-text-to-text,task_ids:visual-question-answering,language:zh,language:en,license:mit,size_categories:n<1K,format:parquet,modality:image,modality:text,library:datasets,library:pandas,library:polars,library:mlcroissant,region:us,ocean,marine-science,sonar,multimodal,instruction-tuning"
westlake-repl/faiss_index,westlake-repl,14638,0,2024-05-24 01:43:40+00:00,2025-05-07 02:40:01+00:00,"license:mit,region:us"
wenet-e2e/wenetspeech,wenet-e2e,13170,5,2024-07-04 02:03:01+00:00,2024-07-04 10:20:36+00:00,"arxiv:2110.03370,region:us"
xiaowu0162/longmemeval-cleaned,xiaowu0162,10506,22,2025-09-19 23:03:26+00:00,2025-09-19 23:48:16+00:00,"language:en,license:mit,region:us"
zjunlp/PredictBeforeExecute,zjunlp,10149,0,2026-03-08 09:18:51+00:00,2026-03-10 02:27:03+00:00,"arxiv:2601.05930,region:us"
zai-org/MotionBench,zai-org,9579,7,2025-01-07 05:03:14+00:00,2026-05-14 07:28:20+00:00,"task_categories:video-text-to-text,language:en,license:cc-by-nc-sa-4.0,size_categories:1K<n<10K,modality:video,library:datasets,library:mlcroissant,arxiv:2501.02955,region:us,video-understanding,motion-understanding,benchmarking,video-qa"
yandex/yambda,yandex,9188,228,2025-05-27 10:41:39+00:00,2026-04-06 19:02:20+00:00,"license:apache-2.0,size_categories:1B<n<10B,format:parquet,modality:tabular,modality:text,library:datasets,library:pandas,library:polars,library:mlcroissant,arxiv:2505.22238,region:us,recsys,retrieval,dataset"
